id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"12987","post","jixipix-nir-color-1-27","","","no","JixiPix NIR Color","89","","","","mac-cracked-apps","","","","","","","","",""
"12993","post","booxter-2-8-1","","","no","Booxter","89","","","","mac-cracked-apps","","","","","","","","",""
"12994","post","jixipix-kyoobik-photo-1-34","","","no","JixiPix Kyoobik Photo","89","","","","mac-cracked-apps","","","","","","","","",""
"12996","post","qspace-1-7-2","","","no","QSpace","88","","","","mac-cracked-apps","","","","","","","","",""
"12997","post","total-war-three-kingdoms-1-0","","","no","Total War THREE KINGDOMS","89","","","","mac-cracked-games","","","","","","","","",""
"12999","post","ytd-video-downloader-pro-4-4-0-20200205","","","no","YTD Video Downloader Pro","89","","","","mac-cracked-apps","","","","","","","","",""
"13005","post","houdahspot-5-0-11","","","no","HoudahSpot","88","","","","mac-cracked-apps","","","","","","","","",""
"13026","post","xtrafinder-1-5-1","","","no","XtraFinde","88","","","","mac-cracked-apps","","","","","","","","",""
"13036","post","jixipix-hallows-eve-1-13","","","no","JixiPix Hallows Eve","88","","","","mac-cracked-apps","","","","","","","","",""
"13037","post","jixipix-happy-holidaze-1-0-4","","","no","JixiPix Happy Holidaze","90","","","","mac-cracked-apps","","","","","","","","",""
"13052","post","jixipix-photoartista-sketch-2-7-0","","","no","JixiPix PhotoArtista","89","","","","mac-cracked-apps","","","","","","","","",""
"13057","post","jixipix-photoartista-oil-2-57","","","no","JixiPix PhotoArtista","88","","","","mac-cracked-apps","","","","","","","","",""
"13058","post","jixipix-photoartista-haiku-2-55","","","no","JixiPix PhotoArtista","89","","","","mac-cracked-apps","","","","","","","","",""
"13073","post","icab-5-9-2","","","no","iCab","89","","","","mac-cracked-apps","","","","","","","","",""
"13075","post","initial-audio-slowmo-1-0-4","","","no","Initial Audio SlowMo","89","","","","mac-cracked-apps","","","","","","","","",""
"13083","post","switchhosts-3-5-4-5517","","","no","SwitchHosts","89","","","","mac-cracked-apps","","","","","","","","",""
"13087","post","lonely-mountains-downhill-1-0-0-2347-0993","","","no","Lonely Mountains","90","","","","mac-cracked-games","","","","","","","","",""
"13088","post","totally-accurate-battle-simulator-0-3-0a","","","no","Totally Accurate Battle Simulator","89","","","","mac-cracked-games","","","","","","","","",""
"13090","post","skul-the-hero-slayer-1-2f","","","no","Skul The Hero Slayer","90","","","","mac-cracked-games","","","","","","","","",""
"13094","post","besiege-early-access-1-0","","","no","Besiege Early Access","89","","","","mac-cracked-games","","","","","","","","",""
"13097","post","phoenix-point-1-055225","","","no","Phoenix Point","89","","","","mac-cracked-games","","","","","","","","",""
"13103","post","mkvtoolnix-44-0-0","","","no","MKVToolNix","89","","","","mac-cracked-apps","","","","","","","","",""
"13109","post","soundspot-evade-1-0-2","","","no","SoundSpot Evade","89","","","","mac-cracked-apps","","","","","","","","",""
"13110","post","soundspot-union-1-0-3","","","no","Soundspot Union","89","","","","mac-cracked-apps","","","","","","","","",""
"13112","post","fliqlo-1-8-3","","","no","Fliqlo","89","","","","mac-cracked-apps","","","","","","","","",""
"13113","post","artrage-6-1-1","","","no","ArtRage","89","","","","mac-cracked-apps","","","","","","","","",""
"13117","post","subler-1-6-3","","","no","Subler","89","","","","mac-cracked-apps","","","","","","","","",""
"13120","post","metro-last-light-redux-0-1","","","no","Metro Last Light Redux","86","","","","mac-cracked-games","","","","","","","","",""
"13122","post","the-pedestrian-1-0-8-35723","","","no","The Pedestrian","84","","","","mac-cracked-games","","","","","","","","",""
"13123","post","the-dark-crystal-age-of-resistance-tactics","%title%","","no","The Dark Crystal Age of Resistance Tactics","89","","","","mac-cracked-games","","","","","","","","",""
"13125","post","john-wick-hex-1-03","","","no","John Wick Hex","89","","","","mac-cracked-games","","","","","","","","",""
"13130","post","asterix-obelix-xxl-3-the-crystal-menhir-1-5-6","","","no","Asterix","89","","","","mac-cracked-games","","","","","","","","",""
"13131","post","book-of-demons-1-03-2007335440","","","no","Book of Demons","89","","","","mac-cracked-games","","","","","","","","",""
"13135","post","sally-face-complete-season-1-5-04-build-34587","","","no","Sally Face Complete Season","90","","","","mac-cracked-games","","","","","","","","",""
"13164","post","a-new-beginning-final-cut-2-0-4-0395","","","no","A New Beginning Final Cut","90","","","","mac-cracked-games","","","","","","","","",""
"13176","post","360zip-1-0-1-030704","","","no","360zip","89","","","","mac-cracked-apps","","","","","","","","",""
"13184","post","defense-zone-2-v1-7-0","","","no","Defense Zone","89","","","","mac-cracked-games","","","","","","","","",""
"13187","post","more-info-1-2","","","no","More Info","89","","","","mac-cracked-apps","","","","","","","","",""
"13194","post","taskly-2-1-0","","","no","Taskly","89","","","","mac-cracked-apps","","","","","","","","",""
"13200","post","ipack-2-3-5","","","no","iPack","89","","","","mac-cracked-apps","","","","","","","","",""
"13206","post","aiseesoft-heic-converter-1-0-20-93198","","","no","Aiseesoft HEIC Converter","89","","","","mac-cracked-apps","","","","","","","","",""
"13209","post","imagenomic-professional-suite-1726","","","no","Imagenomic Professional Suite","90","","","","mac-cracked-apps","","","","","","","","",""
